Rank,Team,GM,W-L,AST,TO,Ratio
1,Gonzaga (WCC),31,23-8,616,300,2.05
2,Iowa (Big Ten),31,16-15,566,306,1.85
3,Auburn (SEC),31,27-4,517,284,1.82
4,UC San Diego (Big West),32,28-4,507,280,1.81
5,Duke (ACC),31,28-3,532,295,1.80
6,Utah St. (Mountain West),31,25-6,549,330,1.66
7,Ole Miss (SEC),31,21-10,453,273,1.66
8,Saint Mary's (CA) (WCC),31,27-4,490,297,1.65
9,Texas Tech (Big 12),31,24-7,519,315,1.65
10,Liberty (CUSA),31,25-6,516,315,1.64
11,Chattanooga (SoCon),33,24-9,556,340,1.64
12,Yale (Ivy League),27,20-7,452,277,1.63
13,UAB (The American),31,20-11,504,310,1.63
14,Cornell (Ivy League),27,17-10,521,327,1.59
15,Columbia (Ivy League),27,12-15,470,295,1.59
16,Lipscomb (ASUN),34,25-9,514,324,1.59
17,UConn (Big East),31,22-9,556,354,1.57
18,Kentucky (SEC),31,21-10,527,337,1.56
19,South Alabama (Sun Belt),32,21-11,461,297,1.55
20,Davidson (Atlantic 10),31,16-15,463,299,1.55
21,Purdue (Big Ten),31,21-10,503,327,1.54
22,Kansas (Big 12),31,20-11,547,357,1.53
23,Belmont (MVC),33,22-11,568,371,1.53
24,UCLA (Big Ten),31,22-9,510,334,1.53
25,Marquette (Big East),31,22-9,435,285,1.53
26,Furman (SoCon),33,25-8,561,372,1.51
27,Xavier (Big East),31,21-10,526,349,1.51
28,Tennessee (SEC),31,25-6,493,328,1.50
29,Wisconsin (Big Ten),31,23-8,455,306,1.49
30,Northwestern (Big Ten),31,16-15,451,304,1.48
31,Florida (SEC),31,27-4,491,331,1.48
32,Akron (MAC),31,25-6,567,383,1.48
33,Nevada (Mountain West),31,16-15,470,320,1.47
34,Virginia (ACC),31,15-16,462,315,1.47
35,Northern Colo. (Big Sky),32,24-8,517,353,1.46
36,Northern Ariz. (Big Sky),33,18-15,492,336,1.46
37,Michigan St. (Big Ten),31,26-5,530,362,1.46
38,North Florida (ASUN),32,15-17,521,358,1.46
39,Dayton (Atlantic 10),31,22-9,473,326,1.45
40,Arizona (Big 12),31,20-11,520,359,1.45
41,North Dakota St. (Summit League),32,21-11,480,332,1.45
42,Mississippi St. (SEC),31,20-11,475,329,1.44
43,Maine (America East),32,19-13,485,337,1.44
44,Clemson (ACC),31,26-5,459,320,1.43
45,Princeton (Ivy League),29,19-10,436,304,1.43
46,Colorado St. (Mountain West),31,22-9,522,365,1.43
47,Toledo (MAC),31,17-14,419,293,1.43
48,Minnesota (Big Ten),31,15-16,476,334,1.43
49,Pepperdine (WCC),33,13-21,525,370,1.42
50,Purdue Fort Wayne (Horizon),32,19-13,434,306,1.42
51,BYU (Big 12),31,23-8,533,377,1.41
52,Santa Clara (WCC),31,20-12,524,372,1.41
53,North Ala. (ASUN),34,24-10,415,295,1.41
54,Col. of Charleston (CAA),32,24-8,512,364,1.41
55,St. John's (NY) (Big East),31,27-4,488,349,1.40
56,UNCW (CAA),32,25-7,499,357,1.40
57,Utah (Big 12),31,16-15,544,390,1.39
58,Illinois St. (MVC),33,19-14,479,344,1.39
59,Creighton (Big East),31,22-9,537,387,1.39
60,Dartmouth (Ivy League),27,14-13,433,313,1.38
61,Sacred Heart (MAAC),31,14-17,513,372,1.38
62,Army West Point (Patriot),31,16-15,438,319,1.37
63,Wofford (SoCon),33,18-15,497,362,1.37
64,Fla. Atlantic (The American),31,17-14,501,366,1.37
65,Cincinnati (Big 12),31,17-14,425,311,1.37
66,North Carolina (ACC),32,20-12,470,345,1.36
67,Pittsburgh (ACC),31,17-14,419,308,1.36
68,Maryland (Big Ten),31,24-7,448,330,1.36
69,Vanderbilt (SEC),31,20-11,437,323,1.35
70,Indiana (Big Ten),31,19-12,487,360,1.35
71,Tulane (The American),31,18-13,456,338,1.35
72,VCU (Atlantic 10),31,25-6,471,350,1.35
73,Houston (Big 12),31,27-4,386,287,1.34
74,UNC Asheville (Big South),32,21-11,449,334,1.34
75,Lafayette (Patriot),33,13-20,486,362,1.34
76,Miami (OH) (MAC),31,23-8,507,378,1.34
77,FGCU (ASUN),32,18-14,452,338,1.34
78,NC State (ACC),31,12-19,394,295,1.34
79,Oregon St. (WCC),32,20-12,467,350,1.33
80,SMU (ACC),31,22-9,491,368,1.33
81,Montana St. (Big Sky),31,14-17,409,308,1.33
82,Oregon (Big Ten),31,23-8,455,343,1.33
83,IU Indy (Horizon),32,10-22,436,329,1.33
84,Arkansas St. (Sun Belt),33,24-9,465,351,1.32
85,Loyola Chicago (Atlantic 10),31,21-10,506,382,1.32
