Rank,Team,GM,W-L,AST,APG
1,Gonzaga (WCC),31,23-8,616,19.9
2,Cornell (Ivy League),27,17-10,521,19.3
3,Akron (MAC),31,25-6,567,18.3
4,Iowa (Big Ten),31,16-15,566,18.3
5,UConn (Big East),31,22-9,556,17.9
6,Utah St. (Mountain West),31,25-6,549,17.7
7,Kansas (Big 12),31,20-11,547,17.6
8,Utah (Big 12),31,16-15,544,17.5
9,Columbia (Ivy League),27,12-15,470,17.4
10,Creighton (Big East),31,22-9,537,17.3
11,UTRGV (Southland),31,16-15,534,17.2
12,Belmont (MVC),33,22-11,568,17.2
13,BYU (Big 12),31,23-8,533,17.2
14,Duke (ACC),31,28-3,532,17.2
15,Michigan St. (Big Ten),31,26-5,530,17.1
16,Furman (SoCon),33,25-8,561,17
16,Kentucky (SEC),31,21-10,527,17
18,Xavier (Big East),31,21-10,526,17
19,Alabama (SEC),31,24-7,524,16.9
19,Santa Clara (WCC),31,20-12,524,16.9
21,Washington St. (WCC),33,19-14,557,16.9
22,Chattanooga (SoCon),33,24-9,556,16.8
23,Colorado St. (Mountain West),31,22-9,522,16.8
24,Arizona (Big 12),31,20-11,520,16.8
25,Texas Tech (Big 12),31,24-7,519,16.7
26,Yale (Ivy League),27,20-7,452,16.7
27,CSUN (Big West),31,22-9,518,16.7
28,Auburn (SEC),31,27-4,517,16.7
29,Liberty (CUSA),31,25-6,516,16.6
30,Sacred Heart (MAAC),31,14-17,513,16.5
31,William & Mary (CAA),32,17-15,529,16.5
32,Samford (SoCon),32,22-10,528,16.5
33,UCLA (Big Ten),31,22-9,510,16.5
34,Miami (OH) (MAC),31,23-8,507,16.4
35,Loyola Chicago (Atlantic 10),31,21-10,506,16.3
36,North Florida (ASUN),32,15-17,521,16.3
37,UAB (The American),31,20-11,504,16.3
38,Purdue (Big Ten),31,21-10,503,16.2
39,Fla. Atlantic (The American),31,17-14,501,16.2
40,Northern Colo. (Big Sky),32,24-8,517,16.2
41,Dartmouth (Ivy League),27,14-13,433,16
42,Col. of Charleston (CAA),32,24-8,512,16
42,Penn St. (Big Ten),31,16-15,496,16
44,N.C. Central (MEAC),31,13-18,494,15.9
45,Utah Valley (WAC),30,23-7,478,15.9
46,Pepperdine (WCC),33,13-21,525,15.9
47,Michigan (Big Ten),31,22-9,493,15.9
47,Tennessee (SEC),31,25-6,493,15.9
49,Howard (MEAC),31,12-19,492,15.9
50,UC San Diego (Big West),32,28-4,507,15.8
51,Florida (SEC),31,27-4,491,15.8
51,SMU (ACC),31,22-9,491,15.8
53,Saint Mary's (CA) (WCC),31,27-4,490,15.8
54,St. John's (NY) (Big East),31,27-4,488,15.7
55,Indiana (Big Ten),31,19-12,487,15.7
56,Indiana St. (MVC),32,14-18,502,15.7
57,Robert Morris (Horizon),32,24-8,501,15.7
58,DePaul (Big East),31,13-18,485,15.6
59,UC Irvine (Big West),32,27-5,500,15.6
60,Kansas St. (Big 12),31,15-16,484,15.6
61,UNCW (CAA),32,25-7,499,15.6
62,Portland (WCC),32,12-20,496,15.5
63,Lamar University (Southland),31,19-12,479,15.5
63,Southern California (Big Ten),31,15-16,479,15.5
65,South Carolina St. (MEAC),30,18-12,463,15.4
66,UMass Lowell (America East),32,17-15,492,15.4
67,Louisiana Tech (CUSA),31,20-11,476,15.4
67,Minnesota (Big Ten),31,15-16,476,15.4
67,New Mexico (Mountain West),31,25-6,476,15.4
67,UIC (MVC),31,17-14,476,15.4
71,Mississippi St. (SEC),31,20-11,475,15.3
72,Manhattan (MAAC),29,17-12,443,15.3
73,Dayton (Atlantic 10),31,22-9,473,15.3
74,Wright St. (Horizon),33,15-18,502,15.2
75,Saint Louis (Atlantic 10),31,18-13,471,15.2
75,VCU (Atlantic 10),31,25-6,471,15.2
77,Tennessee Tech (OVC),32,15-17,486,15.2
78,Nevada (Mountain West),31,16-15,470,15.2
78,Saint Joseph's (Atlantic 10),31,20-11,470,15.2
80,Maine (America East),32,19-13,485,15.2
81,Mount St. Mary's (MAAC),31,19-12,469,15.1
82,Lipscomb (ASUN),34,25-9,514,15.1
83,UC Santa Barbara (Big West),31,19-12,467,15.1
84,A&M-Corpus Christi (Southland),33,20-13,497,15.1
84,Wofford (SoCon),33,18-15,497,15.1
86,Princeton (Ivy League),29,19-10,436,15
87,Iowa St. (Big 12),31,23-8,466,15
88,North Dakota St. (Summit League),32,21-11,480,15
89,Bryant (America East),32,21-11,478,14.9
90,Davidson (Atlantic 10),31,16-15,463,14.9
91,Northern Ariz. (Big Sky),33,18-15,492,14.9
92,Illinois (Big Ten),31,20-11,462,14.9
92,Virginia (ACC),31,15-16,462,14.9
94,Georgia Tech (ACC),31,16-15,461,14.9
