Rank,Team,GM,W-L,BLKS,BKPG
1,UConn (Big East),31,22-9,203,6.5
2,Auburn (SEC),31,27-4,198,6.4
3,Utah Valley (WAC),30,23-7,181,6
4,Bryant (America East),32,21-11,193,6
5,Arkansas (SEC),31,19-12,177,5.7
6,Saint Joseph's (Atlantic 10),31,20-11,173,5.6
7,San Diego St. (Mountain West),29,21-8,161,5.6
8,Marshall (Sun Belt),33,20-13,180,5.5
9,VCU (Atlantic 10),31,25-6,169,5.5
10,St. John's (NY) (Big East),31,27-4,168,5.4
11,Georgia (SEC),31,20-11,165,5.3
12,Brown (Ivy League),27,14-13,142,5.3
13,Youngstown St. (Horizon),32,20-12,168,5.3
14,Little Rock (OVC),33,19-14,172,5.2
15,New Mexico (Mountain West),31,25-6,161,5.2
16,Grand Canyon (WAC),30,23-7,153,5.1
17,Tennessee (SEC),31,25-6,158,5.1
18,Portland St. (Big Sky),31,19-12,156,5
19,Lamar University (Southland),31,19-12,154,5
20,Washington St. (WCC),33,19-14,163,4.9
21,Massachusetts (Atlantic 10),31,12-19,151,4.9
21,Siena (MAAC),31,14-17,151,4.9
23,LSU (SEC),31,14-17,150,4.8
24,Florida St. (ACC),31,17-14,149,4.8
24,Quinnipiac (MAAC),31,19-12,149,4.8
26,Troy (Sun Belt),32,22-10,153,4.8
27,Kansas (Big 12),31,20-11,148,4.8
28,Florida (SEC),31,27-4,147,4.7
28,Michigan St. (Big Ten),31,26-5,147,4.7
30,Cleveland St. (Horizon),32,21-11,151,4.7
30,Northeastern (CAA),32,17-15,151,4.7
32,Creighton (Big East),31,22-9,145,4.7
33,FIU (CUSA),31,9-22,144,4.6
33,Minnesota (Big Ten),31,15-16,144,4.6
33,Mississippi St. (SEC),31,20-11,144,4.6
36,Houston (Big 12),31,27-4,143,4.6
36,Tulane (The American),31,18-13,143,4.6
38,Idaho St. (Big Sky),29,15-14,133,4.6
39,East Carolina (The American),31,18-13,142,4.6
40,Loyola Chicago (Atlantic 10),31,21-10,141,4.5
41,Arkansas St. (Sun Belt),33,24-9,150,4.5
41,Drexel (CAA),33,18-15,150,4.5
43,Vermont (America East),32,21-11,144,4.5
44,Alabama (SEC),31,24-7,139,4.5
44,Arizona St. (Big 12),31,13-18,139,4.5
44,Maryland (Big Ten),31,24-7,139,4.5
44,UCF (Big 12),31,16-15,139,4.5
48,Jacksonville (ASUN),32,19-13,143,4.5
48,Robert Morris (Horizon),32,24-8,143,4.5
50,Monmouth (CAA),33,13-20,147,4.5
51,Memphis (The American),31,26-5,138,4.5
52,Morgan St. (MEAC),30,13-17,133,4.4
53,Middle Tenn. (CUSA),31,21-10,137,4.4
54,Northwestern St. (Southland),30,15-15,132,4.4
55,Arizona (Big 12),31,20-11,136,4.4
56,Evansville (MVC),32,11-21,140,4.4
57,Southern Utah (WAC),30,12-18,131,4.4
58,Cincinnati (Big 12),31,17-14,135,4.4
59,Fla. Atlantic (The American),31,17-14,134,4.3
59,Texas (SEC),31,17-14,134,4.3
61,Southern Miss. (Sun Belt),33,11-22,142,4.3
62,UMass Lowell (America East),32,17-15,137,4.3
63,UAB (The American),31,20-11,132,4.3
64,Duquesne (Atlantic 10),31,13-18,131,4.2
64,Pittsburgh (ACC),31,17-14,131,4.2
64,Wichita St. (The American),31,18-13,131,4.2
67,Central Conn. St. (NEC),31,25-6,130,4.2
67,SFA (Southland),31,14-17,130,4.2
69,UNC Asheville (Big South),32,21-11,134,4.2
70,Illinois (Big Ten),31,20-11,129,4.2
70,Kennesaw St. (CUSA),31,18-13,129,4.2
70,West Virginia (Big 12),31,19-12,129,4.2
73,Alabama A&M (SWAC),31,10-21,128,4.1
73,Iowa (Big Ten),31,16-15,128,4.1
73,Kentucky (SEC),31,21-10,128,4.1
76,Louisiana Tech (CUSA),31,20-11,127,4.1
77,Elon (CAA),32,17-15,131,4.1
78,Penn St. (Big Ten),31,16-15,126,4.1
79,Ole Miss (SEC),31,21-10,125,4
79,Texas A&M (SEC),31,22-9,125,4
81,Texas St. (Sun Belt),32,16-16,129,4
82,Nicholls (Southland),31,19-12,124,4
83,SIUE (OVC),33,22-11,131,4
84,Colorado (Big 12),31,12-19,123,4
84,Saint Mary's (CA) (WCC),31,27-4,123,4
86,Hofstra (CAA),33,15-18,130,3.9
87,LMU (CA) (WCC),32,17-15,126,3.9
88,Vanderbilt (SEC),31,20-11,122,3.9
89,Boston College (ACC),31,12-19,121,3.9
89,Georgetown (Big East),31,17-14,121,3.9
89,Oregon (Big Ten),31,23-8,121,3.9
92,Rutgers (Big Ten),31,15-16,120,3.9
92,Wake Forest (ACC),31,21-10,120,3.9
92,Washington (Big Ten),31,13-18,120,3.9
95,Yale (Ivy League),27,20-7,104,3.9
96,Tennessee St. (OVC),33,17-16,127,3.8
97,UIW (Southland),32,17-15,123,3.8
98,Merrimack (MAAC),31,17-14,118,3.8
98,NC State (ACC),31,12-19,118,3.8
100,ETSU (SoCon),32,19-13,121,3.8
101,Marquette (Big East),31,22-9,117,3.8
102,Bradley (MVC),34,26-8,128,3.8
103,Samford (SoCon),32,22-10,120,3.8
104,California (ACC),31,13-18,116,3.7
104,Southern U. (SWAC),31,20-11,116,3.7
104,Utah (Big 12),31,16-15,116,3.7
104,Virginia (ACC),31,15-16,116,3.7
104,Western Ill. (OVC),31,12-19,116,3.7
109,Valparaiso (MVC),34,15-19,127,3.7
110,Ga. Southern (Sun Belt),33,17-16,123,3.7
111,Bethune-Cookman (SWAC),31,16-15,115,3.7
111,Michigan (Big Ten),31,22-9,115,3.7
111,Temple (The American),31,17-14,115,3.7
114,App State (Sun Belt),31,17-14,114,3.7
114,DePaul (Big East),31,13-18,114,3.7
