Rank,Team,GM,W-L,FGM,FGA,FG%
1,Northern Colo. (Big Sky),32,24-8,940,"1,847",50.9
2,Gonzaga (WCC),31,23-8,995,"1,974",50.4
3,Montana (Big Sky),32,23-9,881,"1,764",49.9
4,Cornell (Ivy League),27,17-10,825,"1,658",49.8
5,UMass Lowell (America East),32,17-15,916,"1,843",49.7
6,Purdue (Big Ten),31,21-10,865,"1,743",49.6
7,Utah St. (Mountain West),31,25-6,887,"1,793",49.5
8,High Point (Big South),34,29-5,977,"1,978",49.4
9,Wright St. (Horizon),33,15-18,952,"1,928",49.4
10,Norfolk St. (MEAC),31,21-10,868,"1,765",49.2
11,Yale (Ivy League),27,20-7,816,"1,661",49.1
12,A&M-Corpus Christi (Southland),33,20-13,946,"1,926",49.1
13,Duke (ACC),31,28-3,905,"1,843",49.1
14,Washington St. (WCC),33,19-14,939,"1,913",49.1
15,UNI (MVC),32,20-12,850,"1,737",48.9
16,Liberty (CUSA),31,25-6,848,"1,738",48.8
17,Missouri (SEC),31,21-10,867,"1,781",48.7
18,BYU (Big 12),31,23-8,901,"1,852",48.7
19,Iowa (Big Ten),31,16-15,943,"1,941",48.6
20,Auburn (SEC),31,27-4,934,"1,925",48.5
21,Miami (OH) (MAC),31,23-8,909,"1,875",48.5
22,UMBC (America East),32,13-19,929,"1,917",48.5
23,Kentucky (SEC),31,21-10,928,"1,917",48.4
24,Bradley (MVC),34,26-8,918,"1,897",48.4
25,Alabama (SEC),31,24-7,962,"1,988",48.4
26,Oregon St. (WCC),32,20-12,844,"1,745",48.4
27,Southern California (Big Ten),31,15-16,839,"1,739",48.2
28,SMU (ACC),31,22-9,888,"1,843",48.2
29,Central Conn. St. (NEC),31,25-6,853,"1,771",48.2
30,Drake (MVC),33,30-3,798,"1,659",48.1
31,Morgan St. (MEAC),30,13-17,894,"1,859",48.1
32,Chattanooga (SoCon),33,24-9,919,"1,913",48
33,North Carolina (ACC),32,20-12,932,"1,941",48
34,UConn (Big East),31,22-9,854,"1,782",47.9
35,McNeese (Southland),31,25-6,864,"1,803",47.9
36,Colorado St. (Mountain West),31,22-9,830,"1,733",47.9
37,Penn St. (Big Ten),31,16-15,858,"1,792",47.9
38,Illinois St. (MVC),33,19-14,876,"1,833",47.8
39,Michigan (Big Ten),31,22-9,858,"1,796",47.8
40,Memphis (The American),31,26-5,870,"1,822",47.7
41,North Dakota St. (Summit League),32,21-11,871,"1,826",47.7
42,Nevada (Mountain West),31,16-15,793,"1,663",47.7
43,Creighton (Big East),31,22-9,834,"1,750",47.7
44,Portland St. (Big Sky),31,19-12,886,"1,860",47.6
45,UNCW (CAA),32,25-7,897,"1,888",47.5
46,Saint Louis (Atlantic 10),31,18-13,820,"1,726",47.5
47,Iowa St. (Big 12),31,23-8,854,"1,798",47.5
48,Maryland (Big Ten),31,24-7,903,"1,903",47.5
49,Delaware (CAA),34,15-19,936,"1,973",47.4
50,Texas Tech (Big 12),31,24-7,888,"1,873",47.4
51,Kansas (Big 12),31,20-11,898,"1,895",47.4
52,Winthrop (Big South),34,23-11,978,"2,064",47.4
53,UC Santa Barbara (Big West),31,19-12,814,"1,718",47.4
