Rank,Team,GM,W-L,PTS,PPG
1,Alabama (SEC),31,24-7,"2,826",91.2
2,Gonzaga (WCC),31,23-8,"2,716",87.6
3,Kentucky (SEC),31,21-10,"2,660",85.8
4,South Dakota (Summit League),33,19-14,"2,812",85.2
5,Auburn (SEC),31,27-4,"2,640",85.2
6,Cornell (Ivy League),27,17-10,"2,296",85
7,Winthrop (Big South),34,23-11,"2,879",84.7
8,Missouri (SEC),31,21-10,"2,621",84.5
9,Florida (SEC),31,27-4,"2,619",84.5
10,Akron (MAC),31,25-6,"2,604",84
11,Illinois (Big Ten),31,20-11,"2,595",83.7
12,Duke (ACC),31,28-3,"2,587",83.5
13,Samford (SoCon),32,22-10,"2,667",83.3
14,UAB (The American),31,20-11,"2,574",83
15,North Florida (ASUN),32,15-17,"2,651",82.8
16,Iowa (Big Ten),31,16-15,"2,551",82.3
17,New Mexico (Mountain West),31,25-6,"2,549",82.2
18,High Point (Big South),34,29-5,"2,795",82.2
19,Bryant (America East),32,21-11,"2,630",82.2
19,UNC Asheville (Big South),32,21-11,"2,630",82.2
21,Yale (Ivy League),27,20-7,"2,219",82.2
22,Arizona (Big 12),31,20-11,"2,541",82
23,Cal Poly (Big West),32,14-18,"2,613",81.7
23,North Carolina (ACC),32,20-12,"2,613",81.7
25,Maryland (Big Ten),31,24-7,"2,527",81.5
25,Utah St. (Mountain West),31,25-6,"2,527",81.5
27,Santa Clara (WCC),31,20-12,"2,525",81.5
28,BYU (Big 12),31,23-8,"2,522",81.4
29,SMU (ACC),31,22-9,"2,514",81.1
29,Texas Tech (Big 12),31,24-7,"2,514",81.1
31,North Dakota St. (Summit League),32,21-11,"2,595",81.1
31,Northern Colo. (Big Sky),32,24-8,"2,595",81.1
33,Miami (OH) (MAC),31,23-8,"2,513",81.1
34,CSUN (Big West),31,22-9,"2,508",80.9
35,Wisconsin (Big Ten),31,23-8,"2,504",80.8
36,Purdue Fort Wayne (Horizon),32,19-13,"2,583",80.7
37,Morgan St. (MEAC),30,13-17,"2,413",80.4
38,UC San Diego (Big West),32,28-4,"2,568",80.3
39,Iowa St. (Big 12),31,23-8,"2,484",80.1
40,South Carolina St. (MEAC),30,18-12,"2,403",80.1
41,Indiana St. (MVC),32,14-18,"2,563",80.1
42,Memphis (The American),31,26-5,"2,480",80
43,UMBC (America East),32,13-19,"2,559",80
44,Vanderbilt (SEC),31,20-11,"2,476",79.9
45,UNCW (CAA),32,25-7,"2,555",79.8
46,Ohio (MAC),31,16-15,"2,469",79.6
47,Mississippi St. (SEC),31,20-11,"2,468",79.6
48,South Dakota St. (Summit League),32,20-12,"2,546",79.6
49,UMass Lowell (America East),32,17-15,"2,543",79.5
50,Belmont (MVC),33,22-11,"2,618",79.3
51,Lipscomb (ASUN),34,25-9,"2,697",79.3
52,Louisville (ACC),31,25-6,"2,459",79.3
53,Fla. Atlantic (The American),31,17-14,"2,458",79.3
54,N.C. Central (MEAC),31,13-18,"2,454",79.2
