Rank,Team,GM,ORebs,DRebs,REB,RPG
1,Alabama (SEC),31,408,935,"1,343",43.32
2,Florida (SEC),31,433,882,"1,315",42.42
2,Illinois (Big Ten),31,401,914,"1,315",42.42
4,Bryant (America East),32,431,894,"1,325",41.41
5,Arkansas St. (Sun Belt),33,444,911,"1,355",41.06
6,St. John's (NY) (Big East),31,456,810,"1,266",40.84
6,Texas A&M (SEC),31,498,768,"1,266",40.84
8,Kennesaw St. (CUSA),31,396,866,"1,262",40.71
9,Tennessee St. (OVC),33,428,910,"1,338",40.55
10,South Dakota St. (Summit League),32,374,913,"1,287",40.22
11,CSUN (Big West),31,401,845,"1,246",40.19
12,Michigan St. (Big Ten),31,372,869,"1,241",40.03
13,Arizona (Big 12),31,387,851,"1,238",39.94
14,Utah (Big 12),31,391,844,"1,235",39.84
15,Elon (CAA),32,408,866,"1,274",39.81
16,Akron (MAC),31,378,852,"1,230",39.68
17,UAB (The American),31,452,776,"1,228",39.61
18,Massachusetts (Atlantic 10),31,440,787,"1,227",39.58
19,Saint Mary's (CA) (WCC),31,435,790,"1,225",39.52
20,New Mexico (Mountain West),31,373,851,"1,224",39.48
21,UT Martin (OVC),33,453,848,"1,301",39.42
22,Mercer (SoCon),33,386,911,"1,297",39.30
23,Yale (Ivy League),27,308,752,"1,060",39.26
24,Milwaukee (Horizon),32,462,791,"1,253",39.16
25,UNCW (CAA),32,403,844,"1,247",38.97
26,Duke (ACC),31,352,854,"1,206",38.90
26,Gonzaga (WCC),31,350,856,"1,206",38.90
28,Kentucky (SEC),31,318,882,"1,200",38.71
29,Jacksonville St. (CUSA),31,339,860,"1,199",38.68
29,SMU (ACC),31,395,804,"1,199",38.68
31,Wofford (SoCon),33,435,841,"1,276",38.67
32,Wichita St. (The American),31,364,833,"1,197",38.61
33,Winthrop (Big South),34,421,891,"1,312",38.59
34,Troy (Sun Belt),32,448,786,"1,234",38.56
35,Quinnipiac (MAAC),31,361,834,"1,195",38.55
36,SIUE (OVC),33,396,874,"1,270",38.48
37,VCU (Atlantic 10),31,415,777,"1,192",38.45
38,Old Dominion (Sun Belt),35,500,845,"1,345",38.43
39,Kansas (Big 12),31,318,873,"1,191",38.42
40,Western Caro. (SoCon),30,310,842,"1,152",38.40
41,Rice (The American),31,383,805,"1,188",38.32
42,Middle Tenn. (CUSA),31,357,830,"1,187",38.29
43,UC Irvine (Big West),32,296,929,"1,225",38.28
44,Utah Valley (WAC),30,329,818,"1,147",38.23
45,Idaho St. (Big Sky),29,406,702,"1,108",38.21
46,Lamar University (Southland),31,407,776,"1,183",38.16
47,Mississippi St. (SEC),31,403,779,"1,182",38.13
48,Dartmouth (Ivy League),27,240,788,"1,028",38.07
49,Georgia St. (Sun Belt),33,393,862,"1,255",38.03
50,North Ala. (ASUN),34,422,870,"1,292",38.00
51,Western Mich. (MAC),31,413,761,"1,174",37.87
52,Creighton (Big East),31,260,913,"1,173",37.84
53,Santa Clara (WCC),31,349,823,"1,172",37.81
54,Michigan (Big Ten),31,336,835,"1,171",37.77
55,North Dakota (Summit League),33,437,808,"1,245",37.73
56,Detroit Mercy (Horizon),32,384,823,"1,207",37.72
56,UC Riverside (Big West),32,405,802,"1,207",37.72
58,Northern Ariz. (Big Sky),33,391,853,"1,244",37.70
59,Delaware St. (MEAC),29,385,708,"1,093",37.69
60,BYU (Big 12),31,342,825,"1,167",37.65
60,Nicholls (Southland),31,370,797,"1,167",37.65
62,Grand Canyon (WAC),30,334,794,"1,128",37.60
63,Louisville (ACC),31,345,820,"1,165",37.58
63,SFA (Southland),31,407,758,"1,165",37.58
63,UTRGV (Southland),31,365,800,"1,165",37.58
66,Texas Southern (SWAC),31,359,805,"1,164",37.55
67,Marshall (Sun Belt),33,412,827,"1,239",37.55
68,New Mexico St. (CUSA),31,363,799,"1,162",37.48
69,Mount St. Mary's (MAAC),31,320,841,"1,161",37.45
70,Morgan St. (MEAC),30,372,750,"1,122",37.40
70,Rhode Island (Atlantic 10),30,295,827,"1,122",37.40
72,Ga. Southern (Sun Belt),33,423,811,"1,234",37.39
73,Southern Miss. (Sun Belt),33,347,886,"1,233",37.36
74,Auburn (SEC),31,366,792,"1,158",37.35
74,California (ACC),31,412,746,"1,158",37.35
76,Georgia Tech (ACC),31,342,815,"1,157",37.32
77,Robert Morris (Horizon),32,393,801,"1,194",37.31
78,Maryland (Big Ten),31,334,822,"1,156",37.29
79,George Mason (Atlantic 10),31,315,840,"1,155",37.26
80,Saint Peter's (MAAC),28,377,666,"1,043",37.25
81,Syracuse (ACC),31,341,813,"1,154",37.23
81,Tennessee (SEC),31,360,794,"1,154",37.23
83,East Carolina (The American),31,404,748,"1,152",37.16
84,Southern Utah (WAC),30,333,780,"1,113",37.10
85,Charleston So. (Big South),32,376,811,"1,187",37.09
86,Iona (MAAC),31,454,695,"1,149",37.06
87,ETSU (SoCon),32,404,782,"1,186",37.06
88,Fla. Atlantic (The American),31,342,806,"1,148",37.03
89,Texas St. (Sun Belt),32,389,795,"1,184",37.00
90,Eastern Ky. (ASUN),32,431,752,"1,183",36.97
91,Portland St. (Big Sky),31,376,770,"1,146",36.97
92,App State (Sun Belt),31,304,841,"1,145",36.94
93,Manhattan (MAAC),29,340,729,"1,069",36.86
94,Towson (CAA),32,418,761,"1,179",36.84
95,Southern U. (SWAC),31,393,749,"1,142",36.84
95,UCF (Big 12),31,389,753,"1,142",36.84
95,Western Ky. (CUSA),31,282,860,"1,142",36.84
98,Furman (SoCon),33,352,863,"1,215",36.82
99,Alabama A&M (SWAC),31,440,701,"1,141",36.81
100,Drexel (CAA),33,364,850,"1,214",36.79
101,La Salle (Atlantic 10),31,373,767,"1,140",36.77
102,Memphis (The American),31,357,781,"1,138",36.71
103,UNC Greensboro (SoCon),32,350,824,"1,174",36.69
104,Kent St. (MAC),31,404,733,"1,137",36.68
105,Texas Tech (Big 12),31,352,784,"1,136",36.65
106,Youngstown St. (Horizon),32,355,817,"1,172",36.63
107,Coastal Carolina (Sun Belt),32,321,850,"1,171",36.59
107,Morehead St. (OVC),32,361,810,"1,171",36.59
109,Georgia (SEC),31,363,771,"1,134",36.58
110,UT Arlington (WAC),30,349,748,"1,097",36.57
111,McNeese (Southland),31,375,758,"1,133",36.55
111,Providence (Big East),31,337,796,"1,133",36.55
