Rank,Team,GM,W-L,ST,STPG
1,Abilene Christian (WAC),31,16-15,323,10.4
2,UTEP (CUSA),31,17-14,321,10.4
3,UC San Diego (Big West),32,28-4,327,10.2
4,Samford (SoCon),32,22-10,319,10
5,Iona (MAAC),31,15-16,307,9.9
6,Missouri (SEC),31,21-10,299,9.6
6,Southern U. (SWAC),31,20-11,299,9.6
8,UTSA (The American),30,12-18,288,9.6
9,Iowa St. (Big 12),31,23-8,297,9.6
10,Grand Canyon (WAC),30,23-7,287,9.6
11,Tarleton St. (WAC),31,12-19,296,9.5
12,South Carolina St. (MEAC),30,18-12,286,9.5
13,Troy (Sun Belt),32,22-10,304,9.5
14,Merrimack (MAAC),31,17-14,293,9.5
15,South Alabama (Sun Belt),32,21-11,299,9.3
16,St. John's (NY) (Big East),31,27-4,288,9.3
17,Vanderbilt (SEC),31,20-11,285,9.2
18,George Washington (Atlantic 10),31,20-11,283,9.1
18,Mississippi St. (SEC),31,20-11,283,9.1
20,Marquette (Big East),31,22-9,282,9.1
21,McNeese (Southland),31,25-6,281,9.1
22,FIU (CUSA),31,9-22,280,9
22,New Mexico (Mountain West),31,25-6,280,9
24,Drake (MVC),33,30-3,298,9
24,Little Rock (OVC),33,19-14,298,9
26,Eastern Ill. (OVC),31,12-19,278,9
27,Maine (America East),32,19-13,286,8.9
28,Oklahoma St. (Big 12),31,15-16,276,8.9
29,Cleveland St. (Horizon),32,21-11,281,8.8
30,Utah St. (Mountain West),31,25-6,272,8.8
31,Purdue Fort Wayne (Horizon),32,19-13,278,8.7
32,Ole Miss (SEC),31,21-10,268,8.6
33,Eastern Ky. (ASUN),32,18-14,276,8.6
34,Delaware St. (MEAC),29,16-13,249,8.6
35,Texas Southern (SWAC),31,15-16,266,8.6
36,Quinnipiac (MAAC),31,19-12,264,8.5
37,N.C. Central (MEAC),31,13-18,262,8.5
38,Mercer (SoCon),33,14-19,278,8.4
39,Miami (OH) (MAC),31,23-8,260,8.4
40,Alabama A&M (SWAC),31,10-21,259,8.4
41,Portland St. (Big Sky),31,19-12,258,8.3
41,SFA (Southland),31,14-17,258,8.3
41,South Fla. (The American),31,13-18,258,8.3
44,UCLA (Big Ten),31,22-9,255,8.2
44,VCU (Atlantic 10),31,25-6,255,8.2
46,UAlbany (America East),32,17-15,263,8.2
47,Prairie View (SWAC),31,5-26,253,8.2
47,Western Ky. (CUSA),31,17-14,253,8.2
49,LIU (NEC),33,17-16,269,8.2
49,Southeast Mo. St. (OVC),33,21-12,269,8.2
51,Seton Hall (Big East),31,7-24,252,8.1
52,Coppin St. (MEAC),29,6-23,235,8.1
53,UT Martin (OVC),33,14-19,267,8.1
54,Penn St. (Big Ten),31,16-15,250,8.1
55,UC Davis (Big West),31,15-16,249,8
56,ETSU (SoCon),32,19-13,257,8
57,Houston (Big 12),31,27-4,248,8
57,Nicholls (Southland),31,19-12,248,8
59,SMU (ACC),31,22-9,247,8
60,Winthrop (Big South),34,23-11,270,7.9
61,Oklahoma (SEC),31,19-12,246,7.9
61,Xavier (Big East),31,21-10,246,7.9
63,Seattle U (WAC),30,13-17,238,7.9
64,VMI (SoCon),34,15-19,269,7.9
65,A&M-Corpus Christi (Southland),33,20-13,261,7.9
66,Georgetown (Big East),31,17-14,245,7.9
67,Cal Poly (Big West),32,14-18,252,7.9
67,Houston Christian (Southland),32,12-20,252,7.9
69,Arizona (Big 12),31,20-11,244,7.9
69,Florida (SEC),31,27-4,244,7.9
71,Ga. Southern (Sun Belt),33,17-16,258,7.8
72,CSUN (Big West),31,22-9,242,7.8
72,Fordham (Atlantic 10),31,11-20,242,7.8
72,Massachusetts (Atlantic 10),31,12-19,242,7.8
75,San Diego St. (Mountain West),29,21-8,226,7.8
76,Jacksonville (ASUN),32,19-13,249,7.8
77,Columbia (Ivy League),27,12-15,210,7.8
78,Maryland (Big Ten),31,24-7,241,7.8
79,Northern Ky. (Horizon),33,17-16,256,7.8
80,Baylor (Big 12),31,18-13,240,7.7
80,UCF (Big 12),31,16-15,240,7.7
82,Georgia (SEC),31,20-11,239,7.7
83,Milwaukee (Horizon),32,21-11,246,7.7
84,East Carolina (The American),31,18-13,238,7.7
85,North Ala. (ASUN),34,24-10,260,7.6
86,Alabama St. (SWAC),31,16-15,237,7.6
